top - 09:29:34 up 15 min,  1 user,  load average: 0.05, 0.12, 0.18
Tasks: 295 total,   1 running, 294 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  6.1 sy,  0.0 ni, 81.8 id, 12.1 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,   1010.4 free,   1257.8 used,   1880.8 buff/cache     
MiB Swap:   3771.0 total,   3771.0 free,      0.0 used.   2609.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2013 dev-onb+  20   0  310760   6872   6232 S   0.0   0.2   0:00.04 gvfs-gp+
   2035 dev-onb+  20   0  236768   7452   6812 S   0.0   0.2   0:00.67 ibus-en+
   2064 dev-onb+  20   0  230208   5944   5432 S   0.0   0.2   0:00.01 dconf-s+
   2084 dev-onb+  20   0  674976   8952   7800 S   0.0   0.2   0:00.03 gvfsd-t+
   2086 dev-onb+  20   0  236304   6640   6128 S   0.0   0.2   0:00.06 gvfsd-m+
   2119 dev-onb+  39  19  734800  27268  18708 S   0.0   0.7   0:00.38 tracker+
   2124 dev-onb+  20   0 2597044  27012  22208 S   0.0   0.7   0:00.10 gjs
   2155 dev-onb+  20   0  554144  14756  11988 S   0.0   0.4   0:00.17 xdg-des+
   2163 dev-onb+  20   0  556300  40368  30424 S   0.0   1.0   0:00.30 xdg-des+
   2170 dev-onb+  20   0 3145712  63380  46548 S   0.0   1.6   0:00.94 gjs
   2189 dev-onb+  20   0  417240  25080  18296 S   0.0   0.6   0:00.19 xdg-des+
   2213 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
   2258 root      20   0   38216  12000  10080 S   0.0   0.3   0:00.05 cupsd
   2259 cups-br+  20   0  268352  20120  17176 S   0.0   0.5   0:00.06 cups-br+
   2302 dev-onb+  20   0  555744  54460  42680 S   0.0   1.4   0:03.64 gnome-t+
   2409 dev-onb+  20   0   11264   5292   3884 S   0.0   0.1   0:00.12 bash
   2422 root      20   0  480896  42044  35772 S   0.0   1.1   0:01.75 fwupd
   2469 dev-onb+  20   0  568184  30988  23564 S   0.0   0.8   0:00.26 update-+
   2565 dev-onb+  20   0  436756  41028  25148 S   0.0   1.0   0:00.58 seahorse
   2692 dev-onb+  20   0 1433900 161712  99988 S   0.0   4.1   0:02.53 gnome-t+
   2701 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2707 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2725 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3008 root       0 -20       0      0      0 I   0.0   0.0   0:00.43 kworker+
   3262 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   3277 root      20   0       0      0      0 I   0.0   0.0   0:00.41 kworker+
   3278 root       0 -20       0      0      0 I   0.0   0.0   0:00.50 kworker+
   3890 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3921 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
   3934 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3935 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3953 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
   3955 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
